YIL,AY,AYIN KACINCI GUNU,HANGI GUN,SAAT (dakika),KADININ YASI,KADININ MESLEGI,ERKEGIN YASI,ERKEGIN MESLEGI,KADININ UYRUGU,IL,FAIL,SUCUN SEKLI,SUC YERI,SEBEP,BIRDEN FAZLA KISI MI OLDURULDU?,FAILIN SONU
2022,Aralik,3,Cumartesi,,26.0,muhendis,24.0,ogrenci,Turkiye,Sanliurfa,kardes,atesli silah,sokak,psikolojik sorunlar,hayir,tutuklu
2022,Aralik,4,Pazar,110.0,38.0,,30.0,,Turkiye,Bartin,es,kesici alet,ev,gecimsizlik,hayir,tutuklu
2022,Aralik,4,Pazar,,21.0,,,,Turkiye,Diyarbakir,dini nikahli es,atesli silah,ev,,hayir,kacak
2022,Aralik,5,Pazartesi,900.0,35.0,,41.0,,Turkiye,Hakkari,es,atesli silah,sokak,,evet,intihar
2022,Aralik,8,Persembe,,61.0,,37.0,,Turkiye,Antalya,ogul,kesici alet,ev,gecimsizlik,hayir,tutuklu
2022,Aralik,11,Pazar,270.0,48.0,saglik personeli,66.0,,Turkiye,Isparta,es,atesli silah,ev,gecimsizlik,hayir,tutuklu
2022,Aralik,12,Pazartesi,1110.0,53.0,,66.0,,Almanya,Balikesir,eski sevgili,atesli silah,sokak,,hayir,intihar
2022,Aralik,12,Pazartesi,,,,,,Turkiye,Diyarbakir,dini nikahli es,atesli silah,ev,kiskanclik,hayir,kacak
2022,Aralik,13,Sali,,29.0,,36.0,,Irak,Corum,es,elektrik akimi ,ev,,hayir,tutuklu
2022,Aralik,18,Pazar,,21.0,,21.0,,Turkiye,Eskisehir,sevgili,atesli silah,ev,kiskanclik,hayir,tutuklu
2022,Aralik,18,Pazar,,35.0,saglik personeli,38.0,,Turkiye,Denizli,es,kesici alet,ev,gecimsizlik,hayir,tutuklu
2022,Aralik,22,Persembe,,28.0,,30.0,,Turkiye,Kocaeli,eski es,atesli silah,ev,gecimsizlik,hayir,tutuklu
2022,Aralik,23,Cuma,1140.0,32.0,,37.0,,Turkiye,Izmir,es,kesici alet,ev,bosanma/ayrilma,hayir,tutuklu
2022,Aralik,24,Cumartesi,60.0,35.0,,,,Turkiye,Kocaeli,es,atesli silah,sokak,gecimsizlik,hayir,tutuklu
2022,Aralik,26,Pazartesi,690.0,36.0,,41.0,,Turkiye,Izmir,es,kesici alet,ev,gecimsizlik,hayir,tutuklu
2022,Aralik,26,Pazartesi,1155.0,22.0,eglence mekani calisani,29.0,,Turkiye,Izmir,sevgili,atesli silah,sokak,kiskanclik,hayir,tutuklu
2022,Aralik,26,Pazartesi,,19.0,,44.0,,Turkiye,Diyarbakir,baba,bogma,ev,gecimsizlik,hayir,tutuklu
2022,Aralik,31,Carsamba,900.0,60.0,,65.0,esnaf,Turkiye,Manisa,dini nikahli es,darp,ev,gecimsizlik,hayir,tutuklu
2022,Kasim,1,Sali,,32.0,,,,Irak,Hatay,sevgili,atesli silah,sokak,gecimsizlik,hayir,intihar
2022,Kasim,2,Carsamba,510.0,32.0,,38.0,esnaf,Turkiye,Istanbul,es,atesli silah,ev,gecimsizlik,hayir,tutuklu
2022,Kasim,2,Carsamba,870.0,35.0,,,,Turkiye,Antalya,sevgili,bogma,ev,kiskanclik,hayir,tutuklu
2022,Kasim,3,Persembe,,37.0,,,,Turkiye,Istanbul,sevgili,atesli silah,sokak,gecimsizlik,hayir,intihar
2022,Kasim,9,Carsamba,,38.0,,45.0,,Turkiye,Erzurum,es,atesli silah,ev,gecimsizlik,hayir,tutuklu
2022,Kasim,11,Cuma,,80.0,,82.0,,Turkiye,Usak,es,kesici alet,ev,gecimsizlik,hayir,tutuklu
2022,Kasim,12,Cumartesi,1080.0,36.0,,35.0,,Turkiye,Bursa,es,kesici alet,ev,psikolojik sorunlar,hayir,intihar ve tutuklu
2022,Kasim,13,Pazar,,21.0,,24.0,,Turkiye,Diyarbakir,eski sevgili,atesli silah,sokak,gecimsizlik,hayir,tutuklu
2022,Kasim,14,Pazartesi,,73.0,,76.0,,Turkiye,Kayseri,akraba,kesici alet,ev,gecimsizlik,hayir,tutuklu
2022,Kasim,16,Carsamba,,38.0,,52.0,emekli,Turkiye,Gaziantep,es,atesli silah,sokak,bosanma/ayrilma,hayir,tutuklu
2022,Kasim,17,Persembe,,35.0,,40.0,,Turkiye,Manisa,eski es,atesli silah,sokak,,hayir,intihar ve tutuklu
2022,Kasim,17,Persembe,1130.0,63.0,,,,Turkiye,Manisa,damat,atesli silah,ev,gecimsizlik,evet,kacak
2022,Kasim,18,Cuma,,38.0,,37.0,,Turkiye,Ankara,es,kesici alet,ev,bosanma/ayrilma,hayir,intihar
2022,Kasim,19,Cumartesi,840.0,49.0,,73.0,,Turkiye,Istanbul,es,atesli silah,ev,gecimsizlik,hayir,intihar
2022,Kasim,19,Cumartesi,,38.0,,39.0,dolandirici,Suriye,Konya,tanidik,bogma,ev,kazara,hayir,tutuklu
2022,Kasim,21,Pazartesi,,28.0,,,,Turkiye,Izmir,eski sevgili,bogma,ev,kiskanclik,hayir,tutuklu
2022,Kasim,22,Sali,,17.0,ogrenci,18.0,,Turkiye,Ankara,sevgili,atesli silah,sokak,kazara,hayir,tutuklu
2022,Kasim,22,Sali,900.0,42.0,,42.0,,Turkiye,Konya,es,atesli silah,arac,,hayir,intihar
2022,Kasim,23,Carsamba,0.0,32.0,,,,Ozbekistan,Denizli,es,kesici alet,ev,gecimsizlik,hayir,intihar ve tutuklu
2022,Kasim,24,Persembe,420.0,27.0,,29.0,,Turkiye,Adana,es,atesli silah,ev,kiskanclik,hayir,tutuklu
2022,Kasim,24,Persembe,,29.0,,59.0,,Irak,Kocaeli,tanidik,bogma,sokak,borc/alacak,hayir,tutuklu
2022,Kasim,25,Cuma,,37.0,,,,Turkiye,Izmir,sevgili,atesli silah,ev,gecimsizlik,hayir,tutuklu
2022,Kasim,25,Cuma,,17.0,,,,Turkiye,Istanbul,tanidik,atesli silah,ev,kiskanclik,evet,tutuklu
2022,Kasim,25,Cuma,,27.0,,,,Turkiye,Istanbul,tanidik,atesli silah,ev,kiskanclik,evet,tutuklu
2022,Kasim,27,Pazar,735.0,24.0,ogretmen,25.0,,Turkiye,Bolu,eski sevgili,atesli silah,sokak,,hayir,intihar
2022,Kasim,27,Pazar,,35.0,saglik personeli,45.0,,Turkiye,Hatay,akraba,atesli silah,isyeri,gecimsizlik,hayir,tutuklu
2022,Kasim,29,Sali,1320.0,33.0,,45.0,,Ozbekistan,Istanbul,es,kesici alet,ev,gecimsizlik,hayir,tutuklu
2022,Kasim,30,Carsamba,180.0,18.0,,24.0,isci,Turkiye,Denizli,es,kesici alet,sokak,psikolojik sorunlar,hayir,tutuklu
2022,Ekim,1,Cumartesi,,47.0,,48.0,,Turkiye,Istanbul,tanidik,atesli silah,ev,gecimsizlik,hayir,tutuklu
2022,Ekim,2,Pazar,1020.0,40.0,ev hanimi,38.0,ciftci,Turkiye,Isparta,es,atesli silah,kirsal alan,mal/miras,hayir,tutuklu
2022,Ekim,3,Pazartesi,1140.0,,,29.0,,Turkiye,Mugla,akraba,atesli silah,ev,mal/miras,hayir,intihar
2022,Ekim,3,Pazartesi,1260.0,32.0,hakim,,hakim,Turkiye,Ankara,es,atesli silah,ev,kiskanclik,hayir,intihar
2022,Ekim,3,Pazartesi,1110.0,90.0,emekli,,,Turkiye,Adana,tanidik,atesli silah,sokak,gecimsizlik,evet,tutuklu
2022,Ekim,4,Sali,,68.0,emekli,60.0,,Turkiye,Mersin,ogul,atesli silah,ev,gecimsizlik,hayir,tutuklu
2022,Ekim,5,Carsamba,1320.0,40.0,,77.0,,Turkiye,Ankara,es,atesli silah,ev,kiskanclik,hayir,tutuklu
2022,Ekim,6,Persembe,1320.0,32.0,muhasebeci,35.0,,Turkiye,Istanbul,eski es,atesli silah,ev,bosanma/ayrilma,hayir,tutuklu
2022,Ekim,8,Cumartesi,270.0,40.0,,44.0,,Turkiye,Ankara,es,kesici alet,ev,bosanma/ayrilma,evet,intihar
2022,Ekim,9,Pazar,0.0,42.0,,47.0,,Turkiye,Ankara,eski es,atesli silah,ev,bosanma/ayrilma,evet,intihar
2022,Ekim,11,Sali,1140.0,30.0,,21.0,,Suriye,Denizli,sevgili,bogma,ev,gecimsizlik,,tutuklu
2022,Ekim,13,Persembe,1140.0,39.0,guvenlik gorevlisi,40.0,,Turkiye,Adana,eski es,atesli silah,sokak,bosanma/ayrilma,hayir,tutuklu
2022,Ekim,13,Persembe,540.0,46.0,ciftci,44.0,ciftci,Turkiye,Sivas,es,atesli silah,ev,psikolojik sorunlar,hayir,intihar
2022,Ekim,15,Cumartesi,1140.0,51.0,doktor,,,Turkiye,Elazig,kardes,atesli silah,sokak,mal/miras,hayir,tutuklu
2022,Ekim,15,Cumartesi,1200.0,45.0,,45.0,,Turkiye,Elazig,eski es,atesli silah,sokak,bosanma/ayrilma,hayir,kacak
2022,Ekim,15,Cumartesi,60.0,29.0,,41.0,,Turkiye,Elazig,sevgili,darp,sokak,kiskanclik,hayir,tutuklu
2022,Ekim,16,Pazar,690.0,39.0,bakici,56.0,,Turkiye,Istanbul,tanidik,kesici alet,ev,kiskanclik,hayir,tutuklu
2022,Ekim,17,Pazartesi,,39.0,ev hanimi,26.0,apartman yoneticisi,Turkiye,Kayseri,tanidik,kesici alet,ev,gecimsizlik,hayir,tutuklu
2022,Ekim,18,Sali,720.0,23.0,,25.0,,Turkiye,Kocaeli,es,atesli silah,sokak,bosanma/ayrilma,hayir,tutuklu
2022,Ekim,21,Cuma,,31.0,ev hanimi,33.0,,Suriye,Sanliurfa,dini nikahli es,atesli silah,ev,kiskanclik,hayir,tutuklu
2022,Ekim,21,Cuma,,,,45.0,polis,Turkiye,Ankara,es,atesli silah,sokak,bosanma/ayrilma,evet,intihar
2022,Ekim,22,Cumartesi,30.0,52.0,esnaf,59.0,,Turkiye,Izmir,eski es,atesli silah,isyeri,bosanma/ayrilma,hayir,tutuklu
2022,Ekim,23,Pazar,1365.0,60.0,,65.0,apartman gorevlisi,Turkiye,Manisa,es,kesici alet,ev,,hayir,tutuklu
2022,Ekim,23,Pazar,1020.0,65.0,emekli,,,Turkiye,Istanbul,tanidik,kesici alet,ev,gasp,hayir,kacak
2022,Ekim,24,Pazartesi,780.0,21.0,ogrenci,43.0,ogretmen,Turkiye,Manisa,tanidik,kesici alet,sokak,psikolojik sorunlar,hayir,tutuklu
2022,Ekim,25,Sali,,38.0,,45.0,,Turkiye,Erzurum,es,kesici alet,ev,kiskanclik,hayir,tutuklu
2022,Ekim,25,Sali,1230.0,34.0,,36.0,,Turkiye,Istanbul,es,atesli silah,sokak,bosanma/ayrilma,hayir,tutuklu
2022,Ekim,25,Sali,,29.0,,31.0,bekci,Turkiye,Ankara,es,atesli silah,sokak,bosanma/ayrilma,evet,tutuklu
2022,Ekim,26,Carsamba,,44.0,,44.0,,Turkiye,Kirklareli,es,atesli silah,ev,bosanma/ayrilma,evet,tutuklu
2022,Ekim,28,Cuma,540.0,44.0,,46.0,isci,Turkiye,Adana,es,atesli silah,ev,bosanma/ayrilma,evet,tutuklu
2022,Ekim,29,Cumartesi,,72.0,,71.0,,Turkiye,Ankara,es,kesici alet,ev,mal/miras,hayir,tutuklu
2022,Ekim,29,Cumartesi,960.0,45.0,,,,Turkiye,Mardin,akraba,kesici alet,ev,mal/miras,hayir,tutuklu
2022,Eylul,1,Persembe,330.0,33.0,,35.0,,Turkiye,Adana,eski es,darp,sokak,kiskanclik,hayir,tutuklu
2022,Eylul,2,Cuma,1200.0,40.0,temizlik gorevlisi,41.0,,Turkiye,Bursa,eski es,atesli silah,sokak,,hayir,intihar
2022,Eylul,3,Cumartesi,,47.0,,51.0,ciftci,Turkiye,Amasya,dini nikahli es,atesli silah,ev,,evet,tutuklu
2022,Eylul,4,Pazar,,34.0,,37.0,,Turkiye,Sanliurfa,es,atesli silah,kirsal alan,kiskanclik,hayir,tutuklu
2022,Eylul,7,Carsamba,,65.0,,75.0,,Turkiye,Izmir,es,atesli silah,ev,,hayir,tutuklu
2022,Eylul,9,Cuma,,34.0,saglik personeli,35.0,,Turkiye,Mersin,es,atesli silah,sokak,bosanma/ayrilma,hayir,tutuklu
2022,Eylul,9,Cuma,,33.0,,49.0,,Turkiye,Bartin,es,atesli silah,sokak,bosanma/ayrilma,hayir,tutuklu
2022,Eylul,12,Pazartesi,,25.0,,,,Turkiye,Adana,dini nikahli es,darp,ev,,hayir,tutuklu
2022,Eylul,12,Pazartesi,1110.0,30.0,,31.0,,Turkiye,Erzincan,es,kesici alet,ev,,hayir,tutuklu
2022,Eylul,13,Sali,840.0,46.0,,44.0,,Turkiye,Rize,es,atesli silah,ev,kiskanclik,evet,tutuklu
2022,Eylul,14,Carsamba,,41.0,,42.0,,Estonya,Antalya,es,darp,otel,,hayir,tutuklu
2022,Eylul,16,Cuma,960.0,15.0,,48.0,,Turkiye,Mersin,akraba,atesli silah,ev,,hayir,intihar
2022,Eylul,16,Cuma,,32.0,,34.0,,Turkiye,Mersin,es,kesici alet,sokak,,hayir,tutuklu
2022,Eylul,17,Cumartesi,990.0,23.0,,30.0,,Turkiye,Istanbul,es,kesici alet,ev,kiskanclik,evet,tutuklu
2022,Eylul,17,Cumartesi,990.0,18.0,,30.0,,Turkiye,Istanbul,akraba,kesici alet,ev,kiskanclik,evet,tutuklu
2022,Eylul,18,Pazar,,20.0,,30.0,,Turkiye,Kirsehir,es,atesli silah,ev,bosanma/ayrilma,hayir,intihar ve tutuklu
2022,Eylul,23,Cuma,240.0,41.0,,55.0,ogretmen,Turkiye,Gaziantep,es,darp,ev,,hayir,tutuklu
2022,Eylul,23,Cuma,,,,,,Turkiye,Giresun,es,atesli silah,ev,bosanma/ayrilma,evet,intihar ve tutuklu
2022,Eylul,23,Cuma,,,,,,Turkiye,Giresun,akraba,atesli silah,ev,gecimsizlik,evet,intihar ve tutuklu
2022,Eylul,23,Cuma,,,,,,Turkiye,Giresun,akraba,atesli silah,ev,gecimsizlik,evet,intihar ve tutuklu
2022,Eylul,23,Cuma,240.0,21.0,ogrenci,21.0,,Turkiye,Antalya,eski sevgili,darp,arac,bosanma/ayrilma,hayir,tutuklu
2022,Eylul,25,Pazar,990.0,58.0,,26.0,,Turkiye,Istanbul,ogul,kesici alet,ev,psikolojik sorunlar,hayir,tutuklu
2022,Eylul,24,Cumartesi,,25.0,ogretmen,,polis,Turkiye,Sirnak,es,atesli silah,ev,,evet,intihar
2022,Eylul,30,Cuma,,25.0,,30.0,,Turkiye,Nigde,es,kesici alet,ev,bosanma/ayrilma,hayir,tutuklu
2022,Eylul,26,Pazartesi,,45.0,,46.0,,Turkiye,Samsun,es,atesli silah,ev,,hayir,tutuklu
2022,Agustos,1,Pazartesi,120.0,28.0,isci,31.0,,Turkiye,Adana,dini nikahli es,kesici alet,ev,kiskanclik,hayir,tutuklu
2022,Agustos,4,Persembe,960.0,36.0,,40.0,,Turkiye,Konya,es,atesli silah,ev,,hayir,tutuklu
